 4, 60, 0, 1, 0, 3
 2, 60, 0, 1, 1, 0
 4, 60, 0, 1, 1, 2
 6, 60, 0, 3, 3, 0
 6, 60, 0, 3, 1, 2
 11, 60, 0, 4, 5, 2
 10, 60, 0, 6, 3, 1
 11, 60, 0, 6, 4, 1
 6, 60, 0, 3, 2, 1
 1, 60, 0, 1, 0, 0
 4, 60, 0, 3, 1, 0
 13, 60, 0, 8, 4, 1
 6, 60, 0, 3, 2, 1
 3, 60, 0, 2, 1, 0
 8, 60, 0, 5, 1, 2
 7, 60, 0, 5, 2, 0
 8, 60, 0, 6, 1, 1
 17, 180, 0, 8, 6, 3
 10, 180, 0, 4, 3, 3
 9, 180, 0, 4, 3, 2    
 20, 180, 0, 11, 6, 3
 9, 180, 0, 6, 3, 0 
 16, 180, 0, 8, 4, 4
 17, 180, 0, 6, 7, 4
 11, 180, 0, 3, 2, 6
 9, 180, 0, 6, 1, 2
 8, 180, 0, 3, 1, 4
 8, 180, 0, 3, 4, 1
 15, 180, 0, 8, 5, 2
 21, 180, 0, 10, 8, 3
 10, 180, 0, 3, 4, 3
 12, 180, 0, 7, 4, 1
 9, 180, 0, 6, 3, 0
 24, 180, 0, 15, 3, 6 
 28, 240, 0, 18, 3, 7
 9, 240, 0, 6, 3, 0
 14, 240, 0, 5, 6, 3
 20, 240, 0, 7, 9, 4
 10, 240, 0, 4, 2, 4
 10, 240, 0, 5, 4, 1
 13, 240, 0, 4, 2, 7
 13, 240, 0, 8, 1, 4
 21, 240, 0, 11, 8, 2
 19, 240, 0, 10, 4, 5
 22, 240, 0, 11, 8, 3
 14, 240, 0, 7, 6, 1
 27, 240, 0, 14, 8, 5
 11, 240, 0, 6, 3, 2
 11, 240, 0, 5, 3, 3
 21, 240, 0, 9, 8, 4
 11, 240, 0, 7, 3, 1
 41, 360, 0, 26, 7, 8
 40, 360, 0, 20, 13, 7
 17, 360, 0, 5, 5, 7
 17, 360, 0, 10, 3, 4
 22, 360, 0, 8, 5, 9
 16, 360, 0, 9, 6, 1
 25, 360, 0, 10, 10, 5
 28, 360, 0, 14, 6, 8
 22, 360, 0, 11, 8, 3
 20, 360, 0, 9, 8, 3
 20, 360, 0, 8, 9, 3
 21, 360, 0, 11, 8, 2
 42, 360, 0, 23, 10, 9
 20, 360, 0, 12, 5, 3
 20, 360, 0, 8, 7, 5
 26, 360, 0, 11, 9, 6
 14, 360, 0, 8, 4, 2
 4, 60, 0, 1, 0, 3
 2, 60, 0, 1, 1, 0
 4, 60, 0, 1, 1, 2
 6, 60, 0, 3, 3, 0
 6, 60, 0, 3, 1, 2
 11, 60, 0, 4, 5, 2
 10, 60, 0, 6, 3, 1
 11, 60, 0, 6, 4, 1
 6, 60, 0, 3, 2, 1
 1, 60, 0, 1, 0, 0
 4, 60, 0, 3, 1, 0
 13, 60, 0, 8, 4, 1
 6, 60, 0, 3, 2, 1
 3, 60, 0, 2, 1, 0
 8, 60, 0, 5, 1, 2
 7, 60, 0, 5, 2, 0
 8, 60, 0, 6, 1, 1
 17, 180, 0, 8, 6, 3
 10, 180, 0, 4, 3, 3
 9, 180, 0, 4, 3, 2    
 20, 180, 0, 11, 6, 3
 9, 180, 0, 6, 3, 0 
 16, 180, 0, 8, 4, 4
 17, 180, 0, 6, 7, 4
 11, 180, 0, 3, 2, 6
 9, 180, 0, 6, 1, 2
 8, 180, 0, 3, 1, 4
 8, 180, 0, 3, 4, 1
 15, 180, 0, 8, 5, 2
 21, 180, 0, 10, 8, 3
 10, 180, 0, 3, 4, 3
 12, 180, 0, 7, 4, 1
 9, 180, 0, 6, 3, 0
 24, 180, 0, 15, 3, 6 
 28, 240, 0, 18, 3, 7
 9, 240, 0, 6, 3, 0
 14, 240, 0, 5, 6, 3
 20, 240, 0, 7, 9, 4
 10, 240, 0, 4, 2, 4
 10, 240, 0, 5, 4, 1
 13, 240, 0, 4, 2, 7
 13, 240, 0, 8, 1, 4
 21, 240, 0, 11, 8, 2
 19, 240, 0, 10, 4, 5
 22, 240, 0, 11, 8, 3
 14, 240, 0, 7, 6, 1
 27, 240, 0, 14, 8, 5
 11, 240, 0, 6, 3, 2
 11, 240, 0, 5, 3, 3
 21, 240, 0, 9, 8, 4
 11, 240, 0, 7, 3, 1
 41, 360, 0, 26, 7, 8
 40, 360, 0, 20, 13, 7
 17, 360, 0, 5, 5, 7
 17, 360, 0, 10, 3, 4
 22, 360, 0, 8, 5, 9
 16, 360, 0, 9, 6, 1
 25, 360, 0, 10, 10, 5
 28, 360, 0, 14, 6, 8
 22, 360, 0, 11, 8, 3
 20, 360, 0, 9, 8, 3
 20, 360, 0, 8, 9, 3
 21, 360, 0, 11, 8, 2
 42, 360, 0, 23, 10, 9
 20, 360, 0, 12, 5, 3
 20, 360, 0, 8, 7, 5
 26, 360, 0, 11, 9, 6
 14, 360, 0, 8, 4, 2
 